,0,1
"/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency
/film/film/estimated_budget./measurement_unit/dated_money_value/currency
/location/statistical_region/gni_in_ppp_dollars./measurement_unit/dated_money_value/currency
/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency
/location/statistical_region/rent50_4./measurement_unit/dated_money_value/currency
/location/statistical_region/rent50_1./measurement_unit/dated_money_value/currency
/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency
/business/business_operation/revenue./measurement_unit/dated_money_value/currency
/business/business_operation/retained_earnings./measurement_unit/dated_money_value/currency
/location/statistical_region/rent50_3./measurement_unit/dated_money_value/currency
/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency
/business/business_operation/cash./measurement_unit/dated_money_value/currency
/location/statistical_region/rent50_0./measurement_unit/dated_money_value/currency
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency
/education/university/local_tuition./measurement_unit/dated_money_value/currency
/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency
/business/business_operation/assets./measurement_unit/dated_money_value/currency
/business/business_operation/operating_income./measurement_unit/dated_money_value/currency
/business/business_operation/net_profit./measurement_unit/dated_money_value/currency
/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency
/business/business_operation/current_assets./measurement_unit/dated_money_value/currency
/business/business_operation/liabilities./measurement_unit/dated_money_value/currency
/base/schemastaging/athlete_extra/salary./base/schemastaging/athlete_salary/currency
/location/country/currency_used
/business/business_operation/current_liabilities./measurement_unit/dated_money_value/currency
/location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency
/film/film/gross_revenue./measurement_unit/dated_money_value/currency
/user/narphorium/people/wealthy_person/net_worth./measurement_unit/dated_money_value/currency
/education/university/international_tuition./measurement_unit/dated_money_value/currency
/architecture/structure/construction_cost./measurement_unit/money_value/currency","/finance/currency/countries_used
",
"/film/film/production_companies
/organization/organization_sector/organizations_in_this_sector","/film/production_company/films
",
"/sports/sports_team/league./sports/sports_league_participation/league
/sports/sport/leagues","/sports/sports_league/teams./sports/sports_league_participation/team
",
"/people/person/profession
/people/profession/specializations","/people/profession/people_with_this_profession
",
"/astronomy/celestial_object/category
/user/tsegaran/random/subject_taxonomy/entry./user/tsegaran/random/taxonomy_entry/subject","/astronomy/celestial_object_category/objects
",
"/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium
/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium","/film/film_distribution_medium/films_distributed_in_this_medium./film/film_film_distributor_relationship/film
",
"/sports/sports_team/colors
/education/educational_institution/colors
/film/film_genre/films_in_this_genre","/dataworld/gardening_hint/split_to
",
"/education/educational_institution/students_graduates./education/education/degree
/people/person/education./education/education/degree","/education/educational_degree/people_with_this_degree./education/education/institution
",
"/education/educational_institution/school_type
/film/film/subjects","/education/school_category/schools_of_this_kind
",
"/location/location/contains
/time/time_zone/locations_in_this_time_zone","/location/location/containedby
","/base/biblioness/bibs_location/country
"
"/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_open_times/time_zone
/location/location/time_zones","/time/time_zone/locations_in_this_time_zone
",
"/music/artist/genre
/music/genre/subgenre","/music/genre/artists
",
"/location/location/time_zones
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_open_times/time_zone","/time/time_zone/locations_in_this_time_zone
",
"/tv/tv_program/genre
/media_common/media_genre/parent_genre","/tv/tv_genre/programs
",
"/business/employer/employees./business/employment_tenure/title
/organization/organization/leadership./organization/leadership/role","/business/job_title/people_with_this_title./business/employment_tenure/company
",
"/food/food/nutrients./food/nutrition_fact/nutrient
/user/tsegaran/random/subject_taxonomy/entry./user/tsegaran/random/taxonomy_entry/subject","/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy
",
"/base/schemastaging/athlete_extra/salary./base/schemastaging/athlete_salary/currency
/education/university/international_tuition./measurement_unit/dated_money_value/currency
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency
/film/film/estimated_budget./measurement_unit/dated_money_value/currency
/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency
/education/university/local_tuition./measurement_unit/dated_money_value/currency
/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency
/location/country/currency_used
/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency
/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency
/business/business_operation/net_profit./measurement_unit/dated_money_value/currency
/business/business_operation/revenue./measurement_unit/dated_money_value/currency
/business/business_operation/operating_income./measurement_unit/dated_money_value/currency
/business/business_operation/assets./measurement_unit/dated_money_value/currency","/finance/currency/countries_used
",
"/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency
/education/university/international_tuition./measurement_unit/dated_money_value/currency
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency
/education/university/local_tuition./measurement_unit/dated_money_value/currency
/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency
/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency
/location/country/currency_used","/finance/currency/countries_used
",
"/business/business_operation/industry
/education/educational_institution/students_graduates./education/education/specialization
/people/profession/specialization_of","/business/industry/companies
",
"/people/person/religion
/location/statistical_region/religions./location/religion_percentage/religion
/religion/religion/includes","/base/popstra/religion/membership./base/popstra/religion_choice/member
",
"/location/statistical_region/religions./location/religion_percentage/religion
/people/person/religion
/religion/religion/includes","/religion/religion/is_part_of
",
"/film/film/film_festivals
/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue
/location/location/events
/film/film_festival/individual_festivals","/film/film_festival_event/films
",
"/people/person/religion
/base/activism/activist/area_of_activism
/location/statistical_region/religions./location/religion_percentage/religion","/base/activism/activism_issue/activists
",
"/fictional_universe/fictional_character/species
/biology/organism_classification_rank/organism_classifications","/fictional_universe/character_species/characters_of_this_species
",
"/music/artist/genre
/music/genre/parent_genre","/music/genre/artists
",
"/food/food/nutrients./food/nutrition_fact/nutrient
/medicine/disease/prevention_factors","/medicine/condition_prevention_factors/conditions_this_may_prevent
",
"/education/educational_institution/school_type
/organization/organization/organization_type","/education/school_category/schools_of_this_kind
",
"/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season
/sports/sports_award_winner/awards./sports/sports_award/season
/baseball/baseball_player/batting_stats./baseball/batting_statistics/season","/sports/sports_league_season/awards./sports/sports_award/award_winner
",
"/people/ethnicity/languages_spoken
/people/person/languages
/tv/tv_program/languages
/film/film/language
/location/country/languages_spoken
/language/human_language/dialects","/language/language_dialect/language
",
"/people/person/religion
/religion/religion/includes","/religion/religion/is_part_of
",
"/film/film/genre
/media_common/media_genre/child_genres","/film/film_genre/films_in_this_genre
",
"/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation
/film/film/subjects
/travel/transport_operator/travel_destinations_served./travel/transportation/mode_of_transportation","/film/film_subject/films
",
"/location/location/contains
/protected_sites/natural_or_cultural_site_designation/sites./protected_sites/natural_or_cultural_site_listing/listed_site
/base/culturalevent/event/entity_involved","/protected_sites/listed_site/designation_as_natural_or_cultural_site./protected_sites/natural_or_cultural_site_listing/designation
",
"/user/tsegaran/random/subject_taxonomy/entry./user/tsegaran/random/taxonomy_entry/subject
/people/person/religion","/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy
",
"/location/country/languages_spoken
/film/film/language
/people/ethnicity/languages_spoken","/language/human_language/countries_spoken_in
",
"/business/business_operation/industry
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/product_or_service","/business/industry/companies
",
"/location/location/contains
/protected_sites/natural_or_cultural_site_designation/sites./protected_sites/natural_or_cultural_site_listing/listed_site
/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony","/protected_sites/listed_site/designation_as_natural_or_cultural_site./protected_sites/natural_or_cultural_site_listing/designation
",
"/film/film/genre
/media_common/media_genre/child_genres
/tv/tv_program/genre","/film/film_genre/films_in_this_genre
",
"/location/statistical_region/religions./location/religion_percentage/religion
/music/artist/genre","/music/genre/artists
",
"/location/country/form_of_government
/organization/organization/sectors
/base/activism/activist/area_of_activism","/government/form_of_government/countries
",
"/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation
/travel/transport_terminus/travel_destinations_served./travel/transportation/mode_of_transportation
/travel/transport_operator/travel_destinations_served./travel/transportation/mode_of_transportation
/medicine/disease/risk_factors","/film/film_subject/films
",
"/baseball/baseball_player/batting_stats./baseball/batting_statistics/season
/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season
/sports/sports_award_winner/awards./sports/sports_award/season","/sports/sports_league_season/awards./sports/sports_award/award_winner
",
"/location/location/contains
/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony","/base/biblioness/bibs_location/country
","/location/location/containedby
"
"/sports/sports_team/location
/location/location/contains","/location/location/containedby
","/sports/sports_team_location/teams
"
"/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office
/people/person/places_lived./people/place_lived/location
/location/location/contains","/location/location/containedby
",
"/people/person/places_lived./people/place_lived/location
/protected_sites/natural_or_cultural_site_designation/sites./protected_sites/natural_or_cultural_site_listing/listed_site
/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony","/location/location/containedby
",
"/film/film/estimated_budget./measurement_unit/dated_money_value/currency
/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency
/education/university/international_tuition./measurement_unit/dated_money_value/currency
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency
/location/country/currency_used
/business/business_operation/revenue./measurement_unit/dated_money_value/currency
/education/university/local_tuition./measurement_unit/dated_money_value/currency","/finance/currency/countries_used
",
"/location/statistical_region/religions./location/religion_percentage/religion
/military/military_conflict/combatants./military/military_combatant_group/combatants
/religion/religion/organizations
/people/person/religion","/military/military_combatant/military_conflicts./military/military_combatant_group/conflict
",
"/geography/body_of_water/islands
/location/location/contains
/location/location/containedby","/geography/island/body_of_water
",
"/military/military_conflict/combatants./military/military_combatant_group/combatants
/royalty/royal_line/kingdom_s_ruled","/military/military_combatant/military_conflicts./military/military_combatant_group/conflict
",
"/education/educational_institution/mascot
/biology/domesticated_animal/breeds","/biology/animal_breed/breed_of
",
"/people/person/places_lived./people/place_lived/location
/sports/sports_team/location
/location/location/contains","/location/location/containedby
",
"/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony
/location/location/contains","/location/location/containedby
","/base/biblioness/bibs_location/country
"
"/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season
/baseball/baseball_player/batting_stats./baseball/batting_statistics/season
/sports/sports_award_winner/awards./sports/sports_award/season","/sports/sports_league_season/awards./sports/sports_award/award_winner
",
"/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season
/baseball/baseball_player/batting_stats./baseball/batting_statistics/season
/baseball/baseball_player/lifetime_batting_statistics./baseball/lifetime_batting_statistics/ending_season
/baseball/baseball_player/lifetime_batting_statistics./baseball/lifetime_batting_statistics/last_statistics_season
/sports/sports_award_winner/awards./sports/sports_award/season","/sports/sports_league_season/awards./sports/sports_award/award_winner
",
"/location/location/contains
/location/country/capital","/location/location/containedby
",
"/location/location/contains
/protected_sites/natural_or_cultural_site_designation/sites./protected_sites/natural_or_cultural_site_listing/listed_site","/protected_sites/listed_site/designation_as_natural_or_cultural_site./protected_sites/natural_or_cultural_site_listing/designation
","/location/location/containedby
"
"/location/location/contains
/people/deceased_person/place_of_death","/location/location/containedby
",
"/people/person/religion
/base/saints/saint/venerated_in","/religion/religion/is_part_of
",
"/location/location/contains
/people/person/places_lived./people/place_lived/location","/location/location/containedby
",
"/education/field_of_study/students_majoring./education/education/specialization
/user/tsegaran/random/subject_taxonomy/entry./user/tsegaran/random/taxonomy_entry/subject
/education/educational_institution/students_graduates./education/education/specialization
/education/educational_degree/people_with_this_degree./education/education/specialization","/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy
",
"/film/film/subjects
/people/deceased_person/cause_of_death","/film/film_subject/films
",
"/people/person/profession
/people/profession/specializations
/base/onephylogeny/type_of_thing/things_of_this_type","/people/profession/people_with_this_profession
",
"/location/location/contains
/aviation/airport/airlines./aviation/airline_airport_presence/cities_served
/people/person/places_lived./people/place_lived/location","/location/location/containedby
",
"/education/educational_institution/students_graduates./education/education/specialization
/computer/software/software_genre","/computer/software_genre/software_in_genre
",
"/location/location/contains
/location/administrative_division/capital./location/administrative_division_capital_relationship/capital","/location/location/containedby
",
"/food/food/nutrients./food/nutrition_fact/nutrient
/medicine/drug_ingredient/more_specific_ingredient","/medicine/drug_ingredient/more_general_ingredient
",
"/location/location/contains
/people/person/places_lived./people/place_lived/location
/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony","/location/location/containedby
",
"/architecture/building/building_function
/user/tsegaran/random/subject_taxonomy/entry./user/tsegaran/random/taxonomy_entry/subject","/architecture/building_function/buildings
",
"/film/film/language
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language
/people/person/languages
/location/country/languages_spoken
/people/ethnicity/languages_spoken","/language/human_language/countries_spoken_in
",
"/sports/sports_team/season_record./sports/sports_team_season_record/season
/american_football/football_player/passing./american_football/player_passing_statistics/season
/american_football/football_player/games./american_football/player_game_statistics/season
/american_football/football_player/rushing./american_football/player_rushing_statistics/season
/sports/sports_award_type/winners./sports/sports_award/season","/sports/sports_league_season/awards./sports/sports_award/award
",
"/people/person/religion
/location/statistical_region/religions./location/religion_percentage/religion","/people/ethnicity/languages_spoken
",
"/people/person/religion
/religion/religion/is_part_of","/religion/religion/includes
",
"/location/location/contains
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location
/people/person/places_lived./people/place_lived/location
/people/person/place_of_birth","/location/location/containedby
",
"/location/statistical_region/religions./location/religion_percentage/religion
/base/popstra/celebrity/religion./base/popstra/religion_choice/religion
/people/person/religion","/base/popstra/religion/membership./base/popstra/religion_choice/member
",
"/location/statistical_region/religions./location/religion_percentage/religion
/religion/religion/includes","/religion/religion/is_part_of
",
"/award/award_discipline/awards_in_this_discipline
/award/award_winning_work/awards_won./award/award_honor/award","/award/award_category/winners./award/award_honor/honored_for
",
"/organization/organization/product_of_merger./organization/organization_merger/organizations_merging
/organization/organization/involved_in_merger./organization/organization_merger/organizations_merging","/organization/organization/involved_in_merger./organization/organization_merger/organizations_merging
",
"/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium
/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium","/film/film_distribution_medium/films_distributed_in_this_medium./film/film_film_distributor_relationship/film
",
"/government/governmental_jurisdiction/governing_officials./government/government_position_held/governmental_body
/government/governmental_jurisdiction/government_bodies","/government/governmental_body/jurisdiction
",
"/location/country/second_level_divisions
/location/location/contains
/location/country/administrative_divisions","/location/location/containedby
",
"/people/person/religion
/people/person/ethnicity","/people/ethnicity/people
",
"/location/country/capital
/location/location/contains
/film/film/release_date_s./film/film_regional_release_date/film_release_region","/base/biblioness/bibs_location/country
",
"/people/person/places_lived./people/place_lived/location
/location/location/contains
/people/person/place_of_birth","/location/location/people_born_here
",
"/food/food/nutrients./food/nutrition_fact/nutrient
/medicine/disease/treatments","/medicine/medical_treatment/used_to_treat
",
"/time/time_zone/locations_in_this_time_zone
/people/person/place_of_birth
/people/person/places_lived./people/place_lived/location
/location/country/capital
/location/location/contains","/location/location/containedby
",
"/location/location/contains
/people/person/places_lived./people/place_lived/location
/people/person/place_of_birth","/location/location/containedby
",
"/dataworld/gardening_hint/split_to
/common/topic/subjects","/common/topic/subject_of
",
"/people/deceased_person/place_of_cremation
/people/deceased_person/place_of_burial
/location/location/contains","/people/place_of_interment/interred_here
",
"/business/business_operation/industry
/education/educational_degree/people_with_this_degree./education/education/minor
/education/educational_institution/students_graduates./education/education/minor","/business/industry/companies
",
"/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony
/time/time_zone/locations_in_this_time_zone
/location/location/contains","/location/location/containedby
",
"/location/location/contains
/music/artist/origin
/people/person/places_lived./people/place_lived/location","/location/location/containedby
",
"/location/location/partially_contains
/base/culturalevent/event/entity_involved","/location/location/partially_containedby
",
"/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency
/education/university/local_tuition./measurement_unit/dated_money_value/currency
/location/country/currency_used
/film/film/estimated_budget./measurement_unit/dated_money_value/currency","/finance/currency/countries_used
",
"/film/film/genre
/film/film/language
/media_common/netflix_title/netflix_genres","/film/film_genre/films_in_this_genre
",
"/user/tsegaran/random/subject_taxonomy/entry./user/tsegaran/random/taxonomy_entry/subject
/location/country/administrative_divisions","/location/administrative_division/country
",
"/base/rugby/rugby_player/type_of_rugby
/sports/sports_team/sport","/sports/sport/teams
",
"/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony
/organization/organization/headquarters./location/mailing_address/state_province_region
/people/deceased_person/place_of_death
/film/film/release_date_s./film/film_regional_release_date/film_release_region
/people/person/place_of_birth","/location/location/contains
",
"/travel/transport_terminus/travel_destinations_served./travel/transportation/mode_of_transportation
/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation
/user/tsegaran/random/subject_taxonomy/entry./user/tsegaran/random/taxonomy_entry/subject","/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy
",
"/location/location/containedby
/location/location/adjoin_s./location/adjoining_relationship/adjoins
/location/location/contains","/location/location/contains
",
"/award/award_category/category_of
/award/award_nominee/award_nominations./award/award_nomination/award","/award/award_category/category_of
",
"/media_common/media_genre/child_genres
/film/film/genre","/media_common/media_genre/parent_genre
",
"/military/military_conflict/combatants./military/military_combatant_group/combatants
/symbols/namesake/named_after","/military/military_combatant/military_conflicts./military/military_combatant_group/conflict
",
"/organization/organization_scope/organizations_with_this_scope
/government/political_ideology/political_parties","/government/political_party/ideology
",
"/film/film/featured_film_locations
/language/human_language/region
/location/location/contains","/location/location/containedby
",
"/military/military_conflict/combatants./military/military_combatant_group/combatants
/base/culturalevent/event/entity_involved","/military/military_combatant/military_conflicts./military/military_combatant_group/conflict
",
"/location/location/contains
/geography/river/cities","/location/location/containedby
",
"/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location
/location/location/contains","/location/location/containedby
",
"/people/person/places_lived./people/place_lived/location
/location/location/contains
/organization/organization/headquarters./location/mailing_address/citytown
/people/person/place_of_birth
/location/location/containedby","/location/location/people_born_here
",
"/people/person/place_of_birth
/location/location/contains
/people/person/places_lived./people/place_lived/location","/location/location/people_born_here
",
"/people/person/place_of_birth
/location/location/contains","/location/location/containedby
",
"/religion/religion/includes
/people/person/religion","/religion/religion/is_part_of
",
"/music/genre/subgenre
/music/artist/genre","/music/genre/parent_genre
",
"/location/location/contains
/location/location/containedby","/location/location/containedby
",
"/film/film/language
/location/country/languages_spoken
/language/language_family/languages
/location/country/official_language
/people/ethnicity/languages_spoken
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language","/language/human_language/language_family
",
"/award/award_discipline/awards_in_this_discipline
/award/award_winner/awards_won./award/award_honor/award","/award/award_category/winners./award/award_honor/award_winner
",
"/location/administrative_division/capital./location/administrative_division_capital_relationship/capital
/base/aareas/schema/administrative_area/capital","/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division
",
"/geography/geographical_feature_category/features
/location/location/contains","/geography/geographical_feature/category
",
"/sports/sports_team/roster./sports/sports_team_roster/position
/ice_hockey/hockey_team/current_roster./ice_hockey/hockey_roster_position/position","/sports/sports_position/players./ice_hockey/hockey_roster_position/team
",
"/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony
/base/disaster2/tactic/attacks_of_this_form./base/disaster2/attack_process/attack_event","/location/location/containedby
",
"/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location","/location/location/containedby
",
"/location/country/capital
/people/person/place_of_birth
/location/location/contains","/location/location/containedby
",
"/location/location/adjoin_s./location/adjoining_relationship/adjoins
/geography/river/cities
/time/time_zone/locations_in_this_time_zone","/location/location/time_zones
",
"/user/tsegaran/random/subject_taxonomy/entry./user/tsegaran/random/taxonomy_entry/subject
/people/profession/specializations","/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy
",
"/organization/organization_scope/organizations_with_this_scope
/government/politician/party./government/political_party_tenure/party","/government/political_party/politicians_in_this_party./government/political_party_tenure/politician
",
"/music/genre/subgenre
/music/genre/parent_genre
/music/artist/genre","/music/genre/artists
",
"/location/statistical_region/religions./location/religion_percentage/religion
/military/military_conflict/combatants./military/military_combatant_group/combatants
/base/popstra/celebrity/religion./base/popstra/religion_choice/religion","/military/military_combatant/military_conflicts./military/military_combatant_group/conflict
",
"/people/cause_of_death/includes_causes_of_death
/people/cause_of_death/parent_cause_of_death","/people/cause_of_death/parent_cause_of_death
",
"/time/recurring_event/instances
/award/recurring_competition/individual_competitions","/award/competition/instance_of_recurring_competition
",
"/music/genre/subgenre
/music/genre/parent_genre","/music/genre/parent_genre
",
"/film/film/other_crew./film/film_crew_gig/film_crew_role
/people/profession/specializations","/film/film_job/films_with_this_crew_job./film/film_crew_gig/film
",
"/sports/sports_team_location/teams
/sports/sport/teams","/sports/sports_team/location
",
"/time/time_zone/locations_in_this_time_zone
/location/location/contains","/location/administrative_division/second_level_division_of
","/location/location/containedby
"
"/location/location/contains
/location/country/second_level_divisions","/location/location/containedby
",
"/people/person/place_of_birth
/location/country/capital
/location/location/contains","/location/location/people_born_here
",
"/geography/river/cities
/location/location/contains","/location/location/containedby
",
"/award/award_winner/awards_won./award/award_honor/award
/award/award_presenting_organization/award_categories_presented","/award/award_category/winners./award/award_honor/award_winner
",
"/royalty/chivalric_order_member/belongs_to_order./royalty/chivalric_order_membership/order
/award/award_winner/awards_won./award/award_honor/award","/award/award_category/winners./award/award_honor/award_winner
",
"/location/location/containedby
/organization/organization/headquarters./location/mailing_address/citytown
/location/location/contains","/location/location/containedby
",
"/government/political_ideology/political_parties
/organization/organization_scope/organizations_with_this_scope","/organization/organization/geographic_scope
",
"/book/author/school_or_movement
/visual_art/visual_artist/associated_periods_or_movements","/visual_art/art_period_movement/associated_artists
",
"/people/person/places_lived./people/place_lived/location
/location/country/administrative_divisions","/location/administrative_division/country
",
"/music/artist/origin
/organization/organization/headquarters./location/mailing_address/citytown","/location/location/contains
",
"/location/location/contains
/protected_sites/natural_or_cultural_site_designation/sites./protected_sites/natural_or_cultural_site_listing/listed_site
/people/person/place_of_birth","/protected_sites/listed_site/designation_as_natural_or_cultural_site./protected_sites/natural_or_cultural_site_listing/designation
",
"/law/judge/courts./law/judicial_tenure/court
/government/governmental_jurisdiction/government_bodies","/law/court/judges./law/judicial_tenure/judge
",
